title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
Star Wars Pinball: Heroes Within,Wii U,Zen Studios,"['Action', 'Pinball']",,"Apr 30, 2015",0,No score yet,1,0,0,tbd,No user score yet,1,0,0
Starwhal,Wii U,Breakfall,"['Action', 'Fighting', '2D']",E10+,"Sep 24, 2015",66,Mixed or average reviews,1,4,1,6.5,Mixed or average reviews,2,1,1
Stealth Inc 2: A Game of Clones,Wii U,Curve Digital,"['Action', 'Platformer', '2D']",T,"Oct 30, 2014",82,Generally favorable reviews,18,3,0,7.9,Generally favorable reviews,35,8,6
SteamWorld Collection,Wii U,Image & Form,"['Miscellaneous', 'Compilation']",E10+,"Nov 15, 2016",0,No score yet,0,0,0,tbd,No user score yet,3,0,0
SteamWorld Dig,Wii U,Image & Form,"['Action', 'Action Adventure', 'General', 'Platformer', '2D', '']",E10+,"Aug 28, 2014",83,Generally favorable reviews,11,2,0,8.0,Generally favorable reviews,50,14,6
SteamWorld Heist,Wii U,Image & Form,"['Strategy', 'Turn-Based', 'General']",E10+,"Oct 20, 2016",87,Generally favorable reviews,6,1,0,8.0,Generally favorable reviews,20,3,3
SteamWorld Heist: The Outsider,Wii U,Image & Form,"['Strategy', 'Turn-Based', 'General']",E10+,"Sep 30, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
STEEL LORDS,Wii U,nuGAME,"['Action', 'Fighting', '2D']",T,"Jul  7, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
STEEL RIVALS,Wii U,nuGAME,"['Action', 'Fighting', '2D']",T,"Mar  3, 2016",19,Overwhelming dislike,0,0,5,2.6,Generally unfavorable reviews,5,2,18
Stick it to the Man!,Wii U,Zoink!,"['Action', 'Platformer', '3D']",T,"May  1, 2014",81,Generally favorable reviews,10,1,0,7.6,Generally favorable reviews,18,5,4
Stone Shire,Wii U,Finger Gun Games,"['Action Adventure', 'Sandbox']",E10+,"May 21, 2015",0,No score yet,0,0,3,tbd,No user score yet,0,0,1
Sudoku and Permudoku,Wii U,Diplodocus Games,"['Puzzle', 'Logic']",E,"May  5, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Sudoku Party,Wii U,Lightwood Games,"['Puzzle', 'Logic']",E,"Mar 16, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Super Destronaut,Wii U,Petite Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E,"Mar 19, 2015",0,No score yet,1,2,0,tbd,No user score yet,1,2,0
Super Destronaut 2: Go Duck Yourself,Wii U,Petite Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E,"Oct 20, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Super Hero Math,Wii U,Skunk Software,"['Miscellaneous', 'Edutainment']",E,"Sep  1, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Super Mario 3D World,Wii U,Nintendo,"['Platformer', '3D', 'Action', 'Platformer', '3D']",E,"Nov 22, 2013",93,Universal acclaim,81,2,0,8.9,Generally favorable reviews,"1,913",139,108
Super Mario Maker,Wii U,Nintendo,"['Action', 'Platformer', '2D']",E,"Sep 11, 2015",88,Generally favorable reviews,81,4,0,8.7,Generally favorable reviews,777,66,49
Super Meat Boy,Wii U,BlitWorks,"['Action', 'Platformer', '2D']",T,"May 12, 2016",83,Generally favorable reviews,4,1,0,7.2,Mixed or average reviews,16,1,5
SUPER ROBO MOUSE,Wii U,RCMADIAX,"['Action', 'General']",E10+,"Apr  7, 2016",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,Wii U,Bandai Namco Games,"['Action', 'Fighting', '2D']",,"Apr 28, 2015",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Super Smash Bros. for Wii U,Wii U,Bandai Namco Games,"['Action', 'Fighting', 'Fighting', '3D', '2D', '2D', '3D']",E10+,"Nov 21, 2014",92,Universal acclaim,76,1,0,8.9,Generally favorable reviews,"1,863",117,125
Super Toy Cars,Wii U,Eclipse Games,"['Driving', 'Racing', 'Arcade', 'Automobile']",E,"Jul 24, 2014",56,Mixed or average reviews,0,11,2,7.4,Mixed or average reviews,3,4,0
Super Ultra Star Shooter,Wii U,Ultra Dolphin Revolution,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",E,"Sep 28, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Surfin' Sam: Attack of the Aqualites,Wii U,Slyon Studios LLC,"['Action', 'Platformer', '2D']",E10+,"Aug 11, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Suspension Railroad Simulator,Wii U,Joindots,"['Simulation', 'Vehicle', 'Train']",E,"Apr 23, 2015",0,No score yet,0,0,3,tbd,No user score yet,0,0,3
SWAP BLOCKS,Wii U,WizByte Games,"['Puzzle', 'Action', 'Matching']",E,"Jun  1, 2017",0,No score yet,0,1,0,tbd,No user score yet,0,0,1
Swap Fire,Wii U,Midnight Status,"['Action', 'Shooter', 'First-Person', 'Arcade']",E10+,"Nov 18, 2016",0,No score yet,0,1,0,6.8,Mixed or average reviews,3,1,1
Sweetest Thing,Wii U,"Joindots, Seven Sails","['Miscellaneous', 'Board / Card Game']",E,"May 19, 2016",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
Swords & Soldiers HD,Wii U,Two Tribes,"['Strategy', 'General']",T,"May 22, 2014",78,Generally favorable reviews,9,2,0,6.7,Mixed or average reviews,14,12,6
Swords & Soldiers II,Wii U,Ronimo Games,"['Strategy', 'General']",T,"May 21, 2015",75,Generally favorable reviews,14,9,1,7.9,Generally favorable reviews,20,1,4
Tabletop Gallery,Wii U,RCMADIAX,"['Miscellaneous', 'Puzzle', 'General', 'Board / Card Game']",E,"Jan  7, 2016",0,No score yet,0,1,2,tbd,No user score yet,0,1,2
Tachyon Project,Wii U,Eclipse Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"May 12, 2016",0,No score yet,0,3,0,tbd,No user score yet,1,0,0
Tadpole Treble,Wii U,BitFinity,"['Action', 'Rhythm', 'Music']",E,"Aug 11, 2016",85,Generally favorable reviews,5,0,0,7.5,Generally favorable reviews,7,2,2
Tallowmere,Wii U,Chris McFarland,"['Action', 'Platformer', '2D']",T,"Sep  1, 2016",0,No score yet,1,0,0,tbd,No user score yet,1,0,0
Tank! Tank! Tank!,Wii U,Namco Bandai Games,"['Action', 'General', 'Simulation', 'Driving', 'Car Combat', 'Car Combat', 'Vehicle', 'Combat']",E10+,"Nov 18, 2012",45,Generally unfavorable reviews,0,17,20,5.9,Mixed or average reviews,23,27,20
Tap Tap Arcade,Wii U,RCMADIAX,"['Miscellaneous', 'Compilation']",E,"Feb 18, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Tap Tap Arcade 2,Wii U,RCMADIAX,"['Miscellaneous', 'Compilation']",E,"Jul  7, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Tekken Tag Tournament 2: Wii U Edition,Wii U,Namco Bandai Games,"['Action', 'Fighting', 'Fighting', '3D', '3D']",T,"Nov 18, 2012",83,Generally favorable reviews,26,2,0,8.0,Generally favorable reviews,84,14,10
Temple of Yog,Wii U,CHUDCHUD INDUSTRIES,"['Action', 'General']",E10+,"Dec 16, 2015",54,Mixed or average reviews,0,6,1,7.6,Generally favorable reviews,5,2,2
Tengami,Wii U,Nyamyam,"['Adventure', 'General']",E,"Nov 13, 2014",70,Mixed or average reviews,7,7,1,9.6,Universal acclaim,"1,196",8,46
Terraria,Wii U,"Engine Software, Re-Logic","['Action', 'Action Adventure', 'Platformer', 'Sandbox', '2D']",T,"Jun 16, 2016",0,No score yet,2,1,0,7.3,Mixed or average reviews,8,2,2
Teslagrad,Wii U,Rain Games,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Sep 11, 2014",79,Generally favorable reviews,11,4,0,8.1,Generally favorable reviews,39,6,4
Teslapunk,Wii U,klutzGames,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E,"Dec  8, 2016",62,Mixed or average reviews,1,4,0,tbd,No user score yet,1,0,0
Test Your Mind,Wii U,XenoHorizon,"['Miscellaneous', 'Party / Minigame']",E,"Nov 12, 2015",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Tetraminos,Wii U,Sanuk Games,"['Puzzle', 'Stacking']",E,"Sep  8, 2016",0,No score yet,1,2,0,tbd,No user score yet,1,2,0
Tetrobot and Co.,Wii U,Swing Swing Submarine,"['Puzzle', 'Action']",E,"Oct 30, 2014",77,Generally favorable reviews,6,2,0,7.9,Generally favorable reviews,14,2,2
The Amazing Spider-Man,Wii U,Beenox,"['Action', 'Action Adventure', 'General', 'General', 'Open-World']",T,"Mar  5, 2013",66,Mixed or average reviews,3,4,0,6.8,Mixed or average reviews,21,16,6
The Amazing Spider-Man 2,Wii U,Beenox,"['Action', 'Action Adventure', 'General', 'General', 'Open-World']",T,"Apr 29, 2014",58,Mixed or average reviews,0,4,1,6.1,Mixed or average reviews,17,2,10
The Beggar's Ride,Wii U,Bad Seed,"['Puzzle', 'General']",E,"May  5, 2016",0,No score yet,2,1,0,tbd,No user score yet,2,1,0
The Binding of Isaac: Rebirth,Wii U,Nicalis,"['Action', 'Action Adventure', 'Shooter', 'Survival', ""Shoot-'Em-Up"", 'Top-Down']",M,"Jul 23, 2015",0,No score yet,3,0,0,7.8,Generally favorable reviews,14,4,3
The Book of Unwritten Tales 2,Wii U,KING Art,"['Adventure', 'Point-and-Click']",T,"May 10, 2016",0,No score yet,0,2,0,9.3,Universal acclaim,3,1,0
The Bridge,Wii U,Ty Taylor and Mario Castaneda,"['Puzzle', 'General', 'Logic']",E,"Aug 20, 2015",78,Generally favorable reviews,4,2,0,tbd,No user score yet,1,2,0
The Cave,Wii U,Double Fine Productions,"['Action', 'Platformer', 'Platformer', '2D', '2D']",T,"Jan 22, 2013",72,Mixed or average reviews,3,4,1,7.3,Mixed or average reviews,31,14,8
The Deer God,Wii U,"Cinopt Studios LLC, Mobot Studios Inc","['Action', 'Platformer', '2D']",T,"Apr 28, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,1,0
The Delusions of Von Sottendorff and His Squared Mind,Wii U,"Abylight, Delirium Studios Evolution S.L.","['Puzzle', 'Logic']",,"Dec 17, 2015",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
The Fall,Wii U,Over The Moon,"['Action Adventure', 'Sci-Fi', 'General']",T,"Aug 26, 2014",72,Mixed or average reviews,4,5,0,8.1,Generally favorable reviews,18,5,1
The First Skunk Bundle,Wii U,Skunk Software,"['Miscellaneous', 'Party / Minigame']",M,"Sep  1, 2016",0,No score yet,0,0,0,2.6,Generally unfavorable reviews,1,0,4
The Gem Collector,Wii U,TreeFall Studios,"['Action', 'Platformer', '2D']",E,"Sep  8, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
The Girl and the Robot,Wii U,Flying Carpets Games,"['Action Adventure', 'General', 'Linear']",E10+,"May 25, 2017",0,No score yet,0,0,0,tbd,No user score yet,2,0,1
The Grumpy Reaper,Wii U,EnjoyUp Games,"['Action Adventure', 'General']",E10+,"Mar 10, 2016",55,Mixed or average reviews,0,3,1,tbd,No user score yet,0,3,1
The Legend of Zelda: Breath of the Wild,Wii U,Nintendo,"['Fantasy', 'Fantasy', 'Action Adventure', 'Open-World']",E10+,"Mar  3, 2017",96,Universal acclaim,13,0,0,8.3,Generally favorable reviews,"1,947",216,324
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Wii U,Nintendo,"['Action Adventure', 'Open-World']",E10+,"Dec  7, 2017",0,No score yet,0,0,0,8.8,Generally favorable reviews,42,3,4
The Legend of Zelda: Breath of the Wild - The Master Trials,Wii U,Nintendo,"['Action Adventure', 'Open-World']",E10+,"Jun 30, 2017",0,No score yet,1,0,0,8.6,Generally favorable reviews,39,1,6
The Legend of Zelda: The Wind Waker HD,Wii U,"Nintendo, HexaDrive","['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']",E10+,"Sep 20, 2013",90,Universal acclaim,70,0,0,9.0,Universal acclaim,"1,256",46,76
The Legend of Zelda: Twilight Princess HD,Wii U,"Tantalus, Tantatus, Nintendo","['Action Adventure', 'General', 'Open-World']",T,"Mar  4, 2016",86,Generally favorable reviews,70,4,0,8.6,Generally favorable reviews,474,27,45
The LEGO Movie Videogame,Wii U,TT Games,"['Fantasy', 'Action Adventure', 'General', 'Fantasy']",E10+,"Feb  7, 2014",68,Mixed or average reviews,2,3,0,7.7,Generally favorable reviews,21,6,2
The Letter,Wii U,"TreeFallStudios, TreeFall Studios","['Adventure', '3D', 'First-Person', 'Modern']",T,"Jul 10, 2014",14,Overwhelming dislike,0,0,4,2.2,Generally unfavorable reviews,8,2,36
The Mysterious Cities of Gold: Secret Paths,Wii U,Neko Entertainment,"['Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'General']",E,"Nov 21, 2013",60,Mixed or average reviews,1,4,2,7.7,Generally favorable reviews,3,2,1
The Peanuts Movie: Snoopy's Grand Adventure,Wii U,"Activision, Behaviour Interactive","['Action Adventure', 'General', 'Action', 'Platformer', '2D']",E,"Nov  3, 2015",0,No score yet,0,3,0,5.2,Mixed or average reviews,3,0,2
The Perplexing Orb,Wii U,TreeFall Studios,"['Action', 'Platformer', '3D']",E,"Jan 14, 2016",0,No score yet,0,0,3,tbd,No user score yet,0,0,3
The Pinball Arcade,Wii U,Farsight Studios,"['Action', 'Pinball']",E10+,"Apr 21, 2016",0,No score yet,1,0,0,tbd,No user score yet,1,0,0
The Quiet Collection,Wii U,Nostatic Software,"['Miscellaneous', 'Compilation']",E10+,"Jul 23, 2015",64,Mixed or average reviews,2,3,1,tbd,No user score yet,0,1,0
The Rivers of Alice (Extended Version),Wii U,Delirium Studios,"['Action', 'Adventure', 'General']",E,"Oct  1, 2015",69,Mixed or average reviews,3,3,0,6.6,Mixed or average reviews,6,0,2
The Smurfs 2,Wii U,WayForward,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Jul 23, 2013",42,Generally unfavorable reviews,0,1,4,6.2,Mixed or average reviews,18,4,13
The Stonecutter,Wii U,Brave Rock Games,"['Miscellaneous', 'Edutainment']",E,"Jun  4, 2015",0,No score yet,0,0,1,3.0,Generally unfavorable reviews,2,0,5
The Swapper,Wii U,Facepalm Games,"['Action', 'Platformer', '2D']",E10+,"Nov  6, 2014",83,Generally favorable reviews,3,1,0,7.5,Generally favorable reviews,22,4,5
The Swindle,Wii U,Size Five Games,"['Action', 'Platformer', '3D']",E10+,"Sep 10, 2015",72,Mixed or average reviews,2,3,0,tbd,No user score yet,2,0,0
The Voice: I Want You,Wii U,"bitComposer Games, bitComposer","['Action', 'Miscellaneous', 'Rhythm', 'Music']",E10+,"Oct 21, 2014",0,No score yet,0,1,0,tbd,No user score yet,1,1,1
The Walking Dead: Survival Instinct,Wii U,Terminal Reality,"['Action', 'Action Adventure', 'Shooter', 'Shooter', 'Survival', 'First-Person', 'Sci-Fi', 'Sci-Fi', 'Arcade']",M,"Mar 19, 2013",0,No score yet,0,0,3,4.6,Generally unfavorable reviews,15,7,27
The Wonderful 101,Wii U,PlatinumGames,"['Action', 'General', 'General']",T,"Sep 15, 2013",78,Generally favorable reviews,52,23,0,8.6,Generally favorable reviews,472,34,40
Thomas Was Alone,Wii U,Mike Bithell,"['Action', 'Platformer', '2D']",E,"Nov 25, 2014",79,Generally favorable reviews,2,2,0,7.7,Generally favorable reviews,11,3,1
Tilelicious: Delicious Tiles,Wii U,Battleline Studios LLC,"['Action', 'Puzzle', 'General', 'Fighting', '2D']",E,"Apr 16, 2015",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Tiny Galaxy,Wii U,Arcane Pixel Games,"['Action', 'General']",E10+,"Jul 16, 2015",0,No score yet,0,0,3,tbd,No user score yet,0,0,1
Titan's Tower,Wii U,RCMADIAX,"['Action', 'Arcade']",E,"Sep 22, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,1,0
TNT Racers: Nitro Machines Edition,Wii U,Keen Games,"['Driving', 'Racing', 'Arcade', 'Arcade', 'Automobile']",E,"Oct  3, 2013",62,Mixed or average reviews,0,5,0,6.4,Mixed or average reviews,9,6,4
Toby: The Secret Mine,Wii U,Lukas Navratil,"['Action', 'Platformer', '2D']",E10+,"Jan 19, 2017",0,No score yet,0,3,0,tbd,No user score yet,0,1,0
Toki Tori,Wii U,Two Tribes,"['Miscellaneous', 'Puzzle', 'Action', 'General']",E,"Nov  7, 2013",0,No score yet,1,2,0,6.9,Mixed or average reviews,9,3,3
Toki Tori 2,Wii U,Two Tribes,"['Miscellaneous', 'Puzzle', 'Action', 'General', 'Puzzle', 'General']",E,"Apr  4, 2013",76,Generally favorable reviews,15,12,0,7.5,Generally favorable reviews,31,13,7
Tokyo Mirage Sessions #FE,Wii U,Atlus,"['General', 'Fantasy', 'Role-Playing', 'Strategy', 'Turn-Based', 'Japanese-Style', 'General']",T,"Jun 24, 2016",80,Generally favorable reviews,48,14,0,7.8,Generally favorable reviews,313,33,63
Tokyo Mirage Sessions #FE - EXPedition Hunter,Wii U,Atlus,"['Role-Playing', 'Japanese-Style']",T,"Jun 24, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Tokyo Mirage Sessions #FE - Masterful Hunter,Wii U,Atlus,"['Role-Playing', 'Japanese-Style']",T,"Jun 24, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Tokyo Mirage Sessions #FE - Savage Hunter,Wii U,Atlus,"['Role-Playing', 'Japanese-Style']",T,"Jun 24, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Tokyo Mirage Sessions #FE - Tokyo Millennium Collection,Wii U,Atlus,"['Role-Playing', 'Japanese-Style']",T,"Jun 24, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Tom Clancy's Splinter Cell: Blacklist,Wii U,Ubisoft Toronto,"['Action Adventure', 'Modern', 'General', 'Modern']",M,"Aug 20, 2013",75,Generally favorable reviews,3,2,0,7.8,Generally favorable reviews,115,20,25
Tomeling in Trouble,Wii U,HullBreach Studios,"['Action', 'General']",E10+,"Nov  2, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Toon Tanks,Wii U,Petite Games,"['Action', 'Shooter', 'Static', ""Shoot-'Em-Up"", 'Top-Down']",E,"Dec 25, 2014",0,No score yet,0,1,2,tbd,No user score yet,1,0,0
Toon War,Wii U,Lemondo Entertainment,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",T,"Feb  1, 2018",0,No score yet,0,0,0,tbd,No user score yet,2,0,0
TOSS N GO,Wii U,RCMADIAX,"['Action', 'Miscellaneous', 'Fighting', 'Board Games', 'Board / Card Game', '2D']",E,"Dec 18, 2014",0,No score yet,0,3,0,tbd,No user score yet,0,0,1
Totem Topple,Wii U,Crystalline Green Ltd.,"['Strategy', 'Real-Time', 'Defense']",E,"Nov 19, 2015",0,No score yet,0,0,3,tbd,No user score yet,0,0,1
Toto Temple Deluxe,Wii U,Juicy Beast Studio,"['Action', 'Miscellaneous', 'Platformer', 'Party / Minigame', '2D']",E,"Oct  1, 2015",74,Mixed or average reviews,1,3,0,tbd,No user score yet,2,0,0
Touch Selections,Wii U,RCMADIAX,"['Miscellaneous', 'Compilation']",E,"Sep  8, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Transformers Prime: The Game,Wii U,Now Production,"['Action', 'General', 'General', ""Beat-'Em-Up"", '3D']",E10+,"Nov 18, 2012",56,Mixed or average reviews,1,11,4,5.6,Mixed or average reviews,6,5,7
Transformers: Rise of the Dark Spark,Wii U,Edge of Reality,"['Action Adventure', 'Sci-Fi', 'General']",T,"Jun 24, 2014",38,Generally unfavorable reviews,0,1,4,4.6,Generally unfavorable reviews,9,3,12
Tri-Strip,Wii U,Sc0tt Games,"['Puzzle', 'Matching']",E,"Feb  5, 2015",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Trine 2: Director's Cut,Wii U,"Frozenbyte, Inc.","['Action', 'Platformer', 'Platformer', '2D', '2D']",E10+,"Nov 18, 2012",84,Generally favorable reviews,22,3,0,7.9,Generally favorable reviews,76,26,8
Trine: Enchanted Edition,Wii U,"Frozenbyte, Inc.","['Action', 'Action Adventure', 'General', 'Platformer', '2D']",E10+,"Mar 12, 2015",80,Generally favorable reviews,5,0,0,7.8,Generally favorable reviews,14,4,3
Triple Breakout,Wii U,nuGAME,"['Action', 'Arcade']",E,"May  4, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Tumblestone,Wii U,Ty Taylor and Mario Castaneda,"['Puzzle', 'Stacking']",E,"Jul 12, 2016",82,Generally favorable reviews,2,2,0,tbd,No user score yet,3,0,0
Turbo: Super Stunt Squad,Wii U,Monkey Bar Games,"['Action', 'General', 'General']",E,"Jul 16, 2013",0,No score yet,0,1,0,3.8,Generally unfavorable reviews,0,5,4
Turtle Tale,Wii U,Saturnine Games,"['Action', 'Platformer', '2D']",E,"Oct  9, 2014",0,No score yet,0,2,0,tbd,No user score yet,0,0,1
Twin Robots,Wii U,Ratalaika Games,"['Action', 'General', 'Platformer', '2D']",E,"Jun 16, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Twisted Fusion,Wii U,Leuvsion,"['Action', 'Platformer', '2D']",,"Nov  3, 2016",36,Generally unfavorable reviews,0,1,3,tbd,No user score yet,1,0,0
Typoman,Wii U,Brainseed Factory,"['Action', 'Platformer', '2D']",E10+,"Nov 19, 2015",57,Mixed or average reviews,6,15,5,7.3,Mixed or average reviews,21,5,6
U Host,Wii U,Andy Ford,"['Miscellaneous', 'Trivia / Game Show']",E,"Mar 17, 2016",0,No score yet,0,1,1,tbd,No user score yet,1,0,0
Ultratron,Wii U,"Puppy Games, Carbon Games","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down', 'Vertical']",E,"May 14, 2015",73,Mixed or average reviews,2,5,0,7.3,Mixed or average reviews,8,3,2
Unalive,Wii U,RandomSpin,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Apr 26, 2018",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Underground,Wii U,Grendel Games,"['Action', 'General']",E10+,"Apr  2, 2015",67,Mixed or average reviews,5,7,1,7.6,Generally favorable reviews,7,0,1
Unepic,Wii U,EnjoyUp Games,"['Action', 'Role-Playing', 'Platformer', 'Action RPG', '2D']",T,"Jan 16, 2014",72,Mixed or average reviews,10,9,0,7.5,Generally favorable reviews,41,9,7
Use Your Words,Wii U,"Smiling Buddha Games, LLC, Smiling Buddha Games","['Miscellaneous', 'Party / Minigame']",M,"Apr 27, 2017",0,No score yet,0,0,0,tbd,No user score yet,1,1,0
uWordsmith,Wii U,CHUDCHUD INDUSTRIES,"['Miscellaneous', 'Puzzle', 'Edutainment', 'Logic']",E,"Jan 15, 2015",41,Generally unfavorable reviews,0,0,5,5.0,Mixed or average reviews,2,0,2
Vaccine,Wii U,"Rainy Night Creations, RNC","['Action Adventure', 'Survival']",M,"Feb 23, 2017",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Vector Assault,Wii U,WizByte Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E10+,"May 21, 2015",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Vektor Wars,Wii U,"Super Icon Ltd, Super Icon Limited","['Action', 'Shooter', 'First-Person', 'Arcade']",E10+,"Jul 28, 2016",0,No score yet,0,2,0,tbd,No user score yet,1,0,0
Volcanic Field 2,Wii U,Slyon Studios LLC,"['Action', 'Arcade']",E10+,"Feb 25, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Volgarr the Viking,Wii U,Crazy Viking Studios,"['Action', 'General']",T,"Oct 12, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
VoxelMaker,Wii U,Nostatic Software,"['Action', 'General']",E,"Oct  1, 2015",58,Mixed or average reviews,0,4,0,tbd,No user score yet,0,4,0
VRog,Wii U,ByteRockers' Games,"['Action', 'Platformer', '3D']",E10+,"Mar 16, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Wall Ball,Wii U,RCMADIAX,"['Action', 'General']",E,"Feb 16, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Warriors Orochi 3 Hyper,Wii U,Omega Force,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '3D']",T,"Nov 18, 2012",64,Mixed or average reviews,2,16,0,7.6,Generally favorable reviews,21,8,5
Watch Dogs,Wii U,Ubisoft Romania,"['Modern', 'Action Adventure', 'General', 'Modern', 'Open-World']",M,"Nov 18, 2014",62,Mixed or average reviews,5,8,2,6.9,Mixed or average reviews,118,31,46
Wheel of Fortune,Wii U,"Pipeworks Software, Inc.","['Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show']",E,"Dec 14, 2012",0,No score yet,0,1,0,6.7,Mixed or average reviews,9,2,6
Whispering Willows,Wii U,"Abstraction Games, Night Light Interactive","['Adventure', 'General']",T,"Oct  8, 2015",58,Mixed or average reviews,1,5,0,7.9,Generally favorable reviews,6,0,2
Wicked Monsters Blast! HD PLUS,Wii U,Corecell Technology,"['Action', 'Shooter', 'Light Gun']",E10+,"Jan 14, 2016",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Wii Fit U,Wii U,Nintendo,"['Sports', 'Miscellaneous', 'General', 'Exercise / Fitness']",E,"Nov  1, 2013",72,Mixed or average reviews,12,6,1,7.8,Generally favorable reviews,56,13,10
Wii Party U,Wii U,Nd Cube,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']",E,"Oct 25, 2013",65,Mixed or average reviews,11,24,3,7.1,Mixed or average reviews,87,53,25
Wii Sports Club,Wii U,Nintendo,"['Sports', 'General', 'General', 'Individual', 'Athletics']",E10+,"Nov  7, 2013",68,Mixed or average reviews,4,17,0,7.0,Mixed or average reviews,64,42,23
Wii Street U,Wii U,Nintendo,"['Miscellaneous', 'General', 'Application']",,"Feb 14, 2013",0,No score yet,0,0,0,5.9,Mixed or average reviews,15,6,10
Wii U Panorama View,Wii U,Nintendo,"['Miscellaneous', 'General', 'General']",E,"Apr 26, 2013",0,No score yet,0,0,0,5.4,Mixed or average reviews,8,4,6
Wind-up Knight 2,Wii U,Robot Invader,"['Action', 'Platformer', '3D']",E10+,"Aug 13, 2015",0,No score yet,1,2,0,tbd,No user score yet,1,2,0
Wings of Magloryx,Wii U,Arbelos Interactive,"['Action Adventure', 'Linear']",E10+,"Sep 22, 2016",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
WinKings,Wii U,Lemondo Entertainment,"['Action', 'General', 'Platformer', '2D']",E10+,"May  4, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Wipeout 3,Wii U,"Activision, Behaviour Interactive","['Miscellaneous', 'General', 'Party', 'Party', 'Party / Minigame']",E10+,"Nov 18, 2012",0,No score yet,0,1,0,4.0,Generally unfavorable reviews,1,2,6
Wipeout: Create & Crash,Wii U,Activision,"['Miscellaneous', 'Trivia / Game Show', 'Party', 'Party', 'Party / Minigame']",E10+,"Oct 15, 2013",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Woah Dave!,Wii U,Choice Provisions,"['Action', 'Platformer', '2D']",E,"Aug 20, 2015",0,No score yet,1,0,0,tbd,No user score yet,2,0,0
Wooden Sen'SeY,Wii U,Upper Byte,"['Action', 'Platformer', '2D']",E10+,"Jul 24, 2014",62,Mixed or average reviews,2,12,1,7.8,Generally favorable reviews,9,3,2
