title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
Minecraft: Story Mode - A Telltale Games Series - Season Pass,Wii U,Telltale Games,"['Action Adventure', 'Adventure', 'Point-and-Click', 'Linear']",E10+,"Jan 21, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure,Wii U,Telltale Games,"['Adventure', 'Point-and-Click']",E10+,"Dec 13, 2016",0,No score yet,0,0,0,7.9,Generally favorable reviews,6,1,1
Minecraft: Story Mode - Episode 1: The Order of the Stone,Wii U,Telltale Games,"['Action Adventure', 'Adventure', 'General', 'Point-and-Click', 'Linear']",E10+,"Jan 21, 2016",77,Generally favorable reviews,4,1,0,6.8,Mixed or average reviews,14,4,8
Minecraft: Wii U Edition,Wii U,4J Studios,"['Action Adventure', 'Sandbox']",E10+,"Dec 17, 2015",77,Generally favorable reviews,12,3,0,7.5,Generally favorable reviews,71,22,17
Mini-Games Madness Volume: #1 - Hello World!,Wii U,Skunk Software,"['Miscellaneous', 'Party / Minigame']",E,"Jan 28, 2016",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
Mini-Mario & Friends: amiibo Challenge,Wii U,"Nintendo, Nintendo Software Technology","['Puzzle', 'Action']",E,"Mar 25, 2016",0,No score yet,1,2,0,6.9,Mixed or average reviews,8,4,2
Molly Maggot,Wii U,GNOBSOFTWARE,"['Action', 'Platformer', '2D']",E10+,"Dec 31, 2015",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
Momonga Pinball Adventures,Wii U,Paladin Studios,"['Action', 'Pinball']",E,"Oct 15, 2015",57,Mixed or average reviews,0,6,0,tbd,No user score yet,2,1,0
Mon Premier Karaoke,Wii U,RingZero Game Studio,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",E,"Apr  2, 2015",0,No score yet,0,1,0,tbd,No user score yet,0,0,1
Monkey Pirates,Wii U,Henchmen Studio,"['Action', 'Miscellaneous', 'General', 'Party / Minigame']",E,"Jun 26, 2014",62,Mixed or average reviews,1,5,0,tbd,No user score yet,2,0,0
Monster High: 13 Wishes,Wii U,Game Machine Studios,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']",E,"Oct 29, 2013",0,No score yet,0,0,1,5.5,Mixed or average reviews,5,0,3
Monster High: New Ghoul in School,Wii U,"Torus Games, Little Orbit","['Action', 'Action Adventure', 'General']",E,"Nov 17, 2015",0,No score yet,0,0,2,4.3,Generally unfavorable reviews,1,2,3
