title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Darts Up,PlayStation 5,Super PowerUp Games,"['Sports', 'Individual', 'Other']",E,"Jun  3, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-03
Dating Life: Miley X Emily,PlayStation 5,"Dharker Studio, Gamuzumi","['Adventure', 'Visual Novel']",M,"Aug  5, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-08-05
Dauntless,PlayStation 5,Phoenix Labs,"['Role-Playing', 'Action RPG']",T,"Dec  2, 2021",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,1.0,0.0,2021-12-02
Dawn of the Monsters,PlayStation 5,13AM Games,"['Action', ""Beat-'Em-Up"", 'Fighting', '2D', '3D']",T,"Mar 15, 2022",,76,Generally favorable reviews,4,1,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-03-15
DC Justice League: Cosmic Chaos,PlayStation 5,PHL Collective,"['Action Adventure', 'General', 'Open-World']",,"Mar 10, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-03-10
DC League of Super-Pets: The Adventures of Krypto and Ace,PlayStation 5,PHL Collective,"['Action Adventure', 'General']",E10+,"Sep 30, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-09-30
Dead by Daylight: A Binding of Kin,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"Dec  1, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2020-12-01
Dead by Daylight: Forged in Fog Chapter,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"Nov 22, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-11-22
Dead by Daylight: Forsaken,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"May  5, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-05-05
Dead by Daylight: Hellraiser,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",M,"Sep  7, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-09-07
Dead by Daylight: Resident Evil,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"Jun 15, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-06-15
Dead by Daylight: Resident Evil - Project W,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"Aug 30, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-08-30
Dead by Daylight: Roots of Dread,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",M,"Jun  7, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-07
Dead by Daylight: Sadako Rising,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",M,"Mar  8, 2022",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-03-08
Dead by Daylight: Special Edition,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",M,"Nov 12, 2020",,0,No score yet,1,0,0,2.4,Generally unfavorable reviews,3.0,1.0,10.0,24.0,2020-11-12
Dead by Daylight: Tools of Torment,PlayStation 5,Behaviour Interactive,"['Action Adventure', 'Survival']",,"Mar  7, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-03-07
Dead Island 2,PlayStation 5,Deep Silver Dambuster Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Apr 21, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-04-21
Dead Space,PlayStation 5,"Electronic Arts, Motive Studios","['Action Adventure', 'Survival']",M,"Jan 27, 2023",,89,Generally favorable reviews,82,2,0,8.7,Generally favorable reviews,619.0,25.0,66.0,87.0,2023-01-27
DEADCRAFT,PlayStation 5,XSEED Games,"['Action Adventure', 'Survival']",M,"May 19, 2022",,67,Mixed or average reviews,0,5,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2022-05-19
DEADCRAFT: It Came From the Junkyard,PlayStation 5,XSEED Games,"['Action Adventure', 'Survival']",M,"Jun 16, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-16
Death Stranding: Director's Cut,PlayStation 5,Kojima Productions,"['Action', 'Action Adventure', 'General', 'Open-World']",M,"Sep 24, 2021",,85,Generally favorable reviews,59,7,0,7.3,Mixed or average reviews,586.0,44.0,198.0,73.0,2021-09-24
