title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Freedom Planet,Wii U,GalaxyTrail,"['Action', 'Platformer', '2D']",E10+,"Aug 20, 2015",84,Generally favorable reviews,7,0,0,8.4,Generally favorable reviews,58.0,7,7,84.0,2015-08-20
FreezeME,Wii U,Rainy Night Creations,"['Action', 'Platformer', '3D']",E,"Feb  4, 2016",66,Mixed or average reviews,2,3,1,7.5,Generally favorable reviews,10.0,4,3,75.0,2016-02-04
Frenchy Bird,Wii U,Carbon Fire Studio,"['Action', 'Platformer', 'Arcade', '2D']",E,"Jan 29, 2015",30,Generally unfavorable reviews,0,0,6,2.3,Generally unfavorable reviews,3.0,1,14,23.0,2015-01-29
FullBlast,Wii U,Ufo Crash Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E10+,"Aug 27, 2015",59,Mixed or average reviews,0,5,0,6.4,Mixed or average reviews,2.0,2,1,64.0,2015-08-27
Funk of Titans,Wii U,A Crowd of Monsters,"['Action', 'Platformer', '2D']",T,"May 14, 2015",44,Generally unfavorable reviews,0,1,3,2.0,Generally unfavorable reviews,2.0,0,8,20.0,2015-05-14
Funky Barn,Wii U,Tantalus,"['Simulation', 'General', 'General', 'Virtual', 'Virtual Life']",E,"Nov 18, 2012",50,Mixed or average reviews,0,8,2,6.3,Mixed or average reviews,10.0,2,7,63.0,2012-11-18
Funky Physics,Wii U,Petite Games,"['Puzzle', 'General']",E,"Sep 10, 2015",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1,0.0,2015-09-10
Futuridium EP Deluxe,Wii U,MixedBag,"['Action', 'Shooter', 'Rail']",E,"May 26, 2016",82,Generally favorable reviews,3,1,0,0.0,No user score yet,2.0,0,0,0.0,2016-05-26
Gaiabreaker,Wii U,Ubiquitous Entertainment Inc.,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",E,"Aug 14, 2014",38,Generally unfavorable reviews,0,1,3,0.0,No user score yet,0.0,1,0,0.0,2014-08-14
Galaxy Blaster,Wii U,RCMADIAX,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E,"Jul 20, 2017",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0,0.0,2017-07-20
Game & Wario,Wii U,Intelligent Systems,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']",E,"Jun 23, 2013",61,Mixed or average reviews,8,47,5,6.7,Mixed or average reviews,69.0,53,27,67.0,2013-06-23
Game Party Champions,Wii U,"Phosphor Games Studio, LLC","['Miscellaneous', 'Party', 'Party', 'Party / Minigame']",E,"Nov 18, 2012",24,Generally unfavorable reviews,0,2,6,3.6,Generally unfavorable reviews,9.0,1,22,36.0,2012-11-18
Games for Toddlers,Wii U,Skunk Software,"['Miscellaneous', 'Party / Minigame']",E,"Sep  1, 2016",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1,0.0,2016-09-01
Gear Gauntlet,Wii U,"Crystalline Green Ltd., Drop Dead Interactive","['Action', 'General', 'Arcade']",E,"Sep 15, 2016",0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0,0.0,2016-09-15
Gemology,Wii U,BNC Design Studios,"['Puzzle', 'Matching', 'Stacking']",E,"Oct  1, 2015",0,No score yet,0,1,1,0.0,No user score yet,0.0,1,1,0.0,2015-10-01
GEOM,Wii U,Andraconus,"['Miscellaneous', 'Puzzle', 'General']",E,"Jun 19, 2014",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0,0.0,2014-06-19
GetClose: A game for RIVALS,Wii U,Wombat Source,"['Miscellaneous', 'Puzzle', 'Action', 'Party', 'Party / Minigame']",E,"Nov 27, 2014",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0,0.0,2014-11-27
Ghost Blade HD,Wii U,HUCAST,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E10+,"Feb 28, 2017",0,No score yet,0,2,0,0.0,No user score yet,1.0,0,0,0.0,2017-02-28
Giana Sisters: Twisted Dreams,Wii U,Black Forest Games,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Sep  5, 2013",74,Mixed or average reviews,2,3,0,7.5,Generally favorable reviews,23.0,9,5,75.0,2013-09-05
Giana Sisters: Twisted Dreams - Director's Cut,Wii U,Black Forest Games,"['Action', 'Platformer', '2D']",E,"Oct  9, 2015",0,No score yet,0,0,0,9.5,Universal acclaim,4.0,0,0,95.0,2015-10-09
Girls Like Robots,Wii U,Popcannibal,"['Puzzle', 'General']",E10+,"Nov 12, 2015",0,No score yet,1,1,0,0.0,No user score yet,0.0,0,1,0.0,2015-11-12
GravBlocks+,Wii U,From Nothing Game Studios,"['Puzzle', 'Matching']",E10+,"Feb 26, 2015",0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0,0.0,2015-02-26
Gravity Badgers,Wii U,Wales Interactive,"['Puzzle', 'Action', 'General']",E,"May 29, 2014",48,Generally unfavorable reviews,0,3,4,0.0,No user score yet,0.0,0,2,0.0,2014-05-29
Gravity+,Wii U,Nitrolic Games,"['Action', 'Platformer', '2D']",E,"Nov  3, 2016",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0,0.0,2016-11-03
Guac' a Mole,Wii U,Madskull Creations,"['Action', 'Platformer', '2D']",,"Apr  9, 2015",65,Mixed or average reviews,0,4,0,0.0,No user score yet,0.0,4,0,0.0,2015-04-09
Guacamelee! Super Turbo Championship Edition,Wii U,DrinkBox Studios,"['Action', 'Platformer', '2D', '', 'Metroidvania']",E10+,"Jul  2, 2014",90,Universal acclaim,9,0,0,7.7,Generally favorable reviews,113.0,14,22,77.0,2014-07-02
Guitar Hero Live,Wii U,"Activision, FreeStyleGames","['Action', 'Rhythm', 'Music']",T,"Oct 20, 2015",84,Generally favorable reviews,4,0,0,6.1,Mixed or average reviews,23.0,6,12,61.0,2015-10-20
Gunman Clive HD Collection,Wii U,Horberg Productions,"['Miscellaneous', 'Compilation']",E10+,"Sep  3, 2015",86,Generally favorable reviews,9,1,0,8.2,Generally favorable reviews,31.0,5,5,82.0,2015-09-03
Hello Kitty Kruisers,Wii U,Scarab Entertainment,"['Action', 'Driving', 'Racing', 'General', 'Arcade', 'Other', 'Kart']",E,"Mar 21, 2014",0,No score yet,0,1,1,5.0,Mixed or average reviews,4.0,0,5,50.0,2014-03-21
Heptrix,Wii U,Jose Varela,"['Puzzle', 'Stacking']",E,"Nov 27, 2014",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1,0.0,2014-11-27
High Strangeness,Wii U,"Barnyard Intelligence Games, Crystal Labs","['Action Adventure', 'Adventure', 'General', 'Open-World']",T,"May  6, 2015",58,Mixed or average reviews,0,6,0,0.0,No user score yet,1.0,2,0,0.0,2015-05-06
Hive Jump,Wii U,Graphite Lab,"['Action', 'Platformer', '2D']",E10+,"Sep 28, 2017",0,No score yet,0,2,0,0.0,No user score yet,2.0,0,1,0.0,2017-09-28
Hold Your Fire: A Game About Responsibility,Wii U,Alkterios Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E10+,"Sep 24, 2015",0,No score yet,0,0,2,0.0,No user score yet,0.0,0,2,0.0,2015-09-24
