title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Before We Leave,Xbox Series X,Balancing Monkey Games,"['Strategy', 'Management', 'Government']",E10+,"Nov 23, 2021",66,Mixed or average reviews,1,2,1,0.0,No user score yet,0.0,1,0.0,0.0,2021-11-23
Behind Closed Doors: A Developer's Tale,Xbox Series X,Polygonal Wolf,"['Adventure', 'General']",E,"May 18, 2022",0,No score yet,0,1,2,0.0,No user score yet,0.0,1,2.0,0.0,2022-05-18
Beholder 3,Xbox Series X,Paintbucket Games,"['Strategy', 'General']",M,"Dec 15, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-12-15
Bendy and the Dark Revival,Xbox Series X,Joey Drew Studios,"['Action Adventure', 'Survival']",,"Mar  1, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-03-01
Beyond A Steel Sky,Xbox Series X,Revolution Software,"['Action Adventure', 'Adventure', '3D', 'Open-World', 'Third-Person']",T,"Dec 14, 2021",76,Generally favorable reviews,4,1,0,0.0,No user score yet,2.0,0,1.0,0.0,2021-12-14
Beyond Enemy Lines - Remastered Edition,Xbox Series X,Polygon Art Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",,"Feb 26, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-02-26
Biomutant,Xbox Series X,,"['Role-Playing', 'Action RPG']",T,"Jun  9, 2022",79,Generally favorable reviews,3,2,0,0.0,No user score yet,2.0,0,0.0,0.0,2022-06-09
Black Legend,Xbox Series X,Warcave,"['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'Tactics']",,"Mar 25, 2021",0,No score yet,0,2,0,0.0,No user score yet,0.0,0,1.0,0.0,2021-03-25
Black Widow: Recharged,Xbox Series X,"SneakyBox, Adamvision Studios","['Action', 'Shooter', 'Arcade', ""Shoot-'Em-Up"", 'Top-Down']",E,"Oct 28, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-10-28
Blackberry Honey,Xbox Series X,ebi-hime,"['Adventure', 'Visual Novel']",T,"Feb 11, 2022",0,No score yet,0,2,0,0.0,No user score yet,0.0,0,1.0,0.0,2022-02-11
Blacksmith of the Sand Kingdom,Xbox Series X,"Kemco, RideonJapan,Inc.","['Role-Playing', 'Japanese-Style']",E10+,"Jan  7, 2021",0,No score yet,1,2,0,0.0,No user score yet,1.0,2,0.0,0.0,2021-01-07
Blacktail,Xbox Series X,The Parasight,"['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Dec 15, 2022",81,Generally favorable reviews,6,1,0,8.1,Generally favorable reviews,8.0,1,1.0,81.0,2022-12-15
Blackwind,Xbox Series X,Drakkar Dev,"['Action', 'Action Adventure', 'Shooter', 'Linear', ""Shoot-'Em-Up"", 'Top-Down']",T,"Jan 20, 2022",48,Generally unfavorable reviews,0,3,3,0.0,No user score yet,0.0,1,1.0,0.0,2022-01-20
Blade Assault,Xbox Series X,TeamSuneat,"['Action', 'Platformer', '2D']",,"Mar 31, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-03-31
Blast Brigade vs. the Evil Legion of Dr. Cread,Xbox Series X,Allods Team Arcade,"['Action', 'Platformer', '2D', 'Metroidvania']",E10+,"Mar 23, 2022",78,Generally favorable reviews,3,1,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-03-23
Blaster Master Zero,Xbox Series X,Inti Creates,"['Action', 'Platformer', '2D']",,"Jul  1, 2021",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2021-07-01
Blaster Master Zero II,Xbox Series X,Inti Creates,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",,"Jul 15, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-07-15
Blind Fate: Edo no Yami,Xbox Series X,"Troglobytes Games, S.L.","['Action Adventure', 'General']",T,"Sep 15, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-09-15
Blind Postman,Xbox Series X,DillyFrame,"['Puzzle', 'Action']",E,"Sep 24, 2021",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-09-24
Blitz Breaker,Xbox Series X,"EastAsiaSoft, Boncho Games","['Action', 'Platformer', '2D']",E,"Jul  7, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-07-07
Blood Bowl III,Xbox Series X,Cyanide,"['Sports', 'Team', 'Football', 'Arcade']",T,"Feb 23, 2023",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2023-02-23
Blood Waves,Xbox Series X,Light Road Games,"['Action', 'Shooter', 'Third-Person', 'Arcade']",M,"Sep 21, 2022",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1.0,0.0,2022-09-21
BloodRayne Betrayal: Fresh Bites,Xbox Series X,WayForward,"['Action', 'Action Adventure', 'General', 'Platformer', '2D']",T,"Sep  9, 2021",0,No score yet,1,2,0,0.0,No user score yet,1.0,2,0.0,0.0,2021-09-09
Bloodroots,Xbox Series X,Paper Cult,"['Action', ""Beat-'Em-Up"", '3D']",M,"Jul 15, 2021",0,No score yet,1,0,0,7.1,Mixed or average reviews,4.0,3,1.0,71.0,2021-07-15
Bloodshore,Xbox Series X,Wales Interactive,"['Adventure', 'General', 'Visual Novel']",M,"Nov  3, 2021",0,No score yet,0,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2021-11-03
Bloodwash,Xbox Series X,"Jordan King, Henry Hoare","['Action Adventure', 'Survival']",M,"Oct 12, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2022-10-12
Bloody Samurai,Xbox Series X,PNNINE,"['Action', 'Platformer', '2D']",T,"Nov 24, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2022-11-24
